feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,1.2702038748500801,1.1646805157681155,0.7564778046593075,0.18589926,185,23.738177158073313
price_lag1,1.5218468363316742,0.9561942948167198,0.007954552175890266,0.09455704,137,15.549441930711131
price_return_1d,0.0037320099721888747,0.05051859477990978,0.0004290533492561661,0.0061156256,80,0.29628716461065124
iv,1.0576921331766829,0.6229468475444873,0.0004975185146521887,0.0013527912,99,0.19425416009731658
iv_lag1,1.089649759223007,0.58852203399625,0.00035233610915264696,0.0018229797,92,0.15679822144233055
iv_change,0.09624453015108433,0.055886741105640125,0.000263673137172885,0.0008198872,71,0.19390026142672773
spread,0.17062380711068317,0.2607005096738608,0.0007870287156883775,0.00266596,71,0.4987815472769894
spread_lag1,0.17473726002000475,0.04521575005521751,0.00039814839961586885,0.0015360719,85,0.06826077435441442
volume_log,0.1440400061499833,0.14364488168503337,0.0003619228754366709,0.0023007875,21,0.16960391939030675
volume_log_lag1,0.1352345810960795,0.042058905102729305,0.00021942002776926427,0.0017395347,40,0.031128247046965568
open_int_log,0.08109642375114788,0.028902817744839597,0.0006235562113368178,0.003261906,105,0.18043200975341758
T,0.991496782011002,0.8519206872700132,0.0048354221465219975,0.033343874,96,3.964527946356421
days_to_maturity,0.991496782011149,0.8519206872700033,0.004155095042474675,0.043304343,30,3.7700454188667534
risk_free_rate,1.0821276172095993,0.8008595592240023,0.0020108022489329787,0.004276262,48,0.7408906963108859
gpr_pit,2.0755824145538693,0.5672209040187978,0.021332965189113075,0.046594396,37,2.8839087410231365
gpr_ac_pit,2.9052327105513314,0.2847265511101315,0.0023653104365479274,0.012574625,38,1.218408949747152
gpr_th_pit,1.553019789819578,0.16762539127248008,0.006096741473641842,0.0142884515,45,1.2618148024479006
gpr_ma7_pit,2.6336836486497837,1.0688856511697882,0.02046948749329465,0.034756985,56,7.862846142082053
gpr_ma30_pit,1.4379555012303182,0.17801724159360408,0.008915736713218698,0.014434703,86,3.180711190674861
gpr_n10d_pit,0.29512772405587645,0.24138763606040184,0.0009728616437284528,0.0065538245,50,0.7809270923631162
gpr_change_pit,1.4876194201693247,0.12399439373402067,0.0004935787298532819,0.0044426857,30,0.4859696025732168
gpr_pct_change_pit,1.0048763217707466,0.5706436289049196,0.0010281513982156921,0.0048736758,48,1.5139327695224827
gpr_ac_change_pit,0.8063495802441508,0.04706573722796977,0.00021361663475199022,0.0027478694,32,0.21270695831776842
gpr_ac_pct_change_pit,0.7523851892577695,0.4214653779034616,0.00033913406853297367,0.002900235,46,0.11476595351292138
gpr_th_change_pit,1.3912744085546596,0.1076754664066664,0.0013463251608335626,0.004819207,23,0.0889831314495093
gpr_th_pct_change_pit,0.20736346626439953,0.09088702645375493,0.002885690551706814,0.0036482883,43,0.43135767879439646
gpr_ma_diff7_pit,0.0049544493783384835,0.49140851937430696,0.0007314084380349883,0.0048398925,51,0.745790487775157
gpr_ma_diff30_pit,1.271360463784269,0.5192879932403212,0.0026341292273860542,0.009280482,31,1.0516955983473797
vix,0.9730239801666395,0.9350484405396264,0.008765362796758356,0.006569026,107,2.52033481233583
moneyness,13.237879868403956,1.0257076428713139,0.0022714398062290597,0.02912361,97,4.384555081192823
log_moneyness,15.211476511987646,1.0520751591950686,0.002011800691454724,0.012557876,54,2.524217462316774
spot_return_1d,0.6518256351369164,0.2665542492777701,0.0007901078535196996,0.010685997,45,1.6616062579803361
spot_ma5,3.745772084647654,1.4782516615007437,0.05067321476157559,0.023673102,107,8.671046984568044
intrinsic_call,12.77271721523648,0.397163632055157,0.0001975990540321138,0.17390372,4,1.036787301722699
spot,1.748143251349545,0.01753133606192289,0.0014607840209750372,0.0026306277,51,0.41830925001470426
time_value_t,5.239611612011088,1.2149974431039101,0.08453885743514264,0.15897515,76,6.9772453439821644
intrinsic_fwd_approx,16.057680668348524,0.4014878863479863,9.936280824436339e-05,0.032129258,5,0.4195489515379432
