feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,0.2869297405330034,1.1032679947489705,0.751626963239368,0.23552206,855,26.317253084093128
price_lag1,1.4604162483425678,0.6084822647666199,0.00869592008746686,0.1554903,718,6.369760036144836
price_return_1d,0.031025458091955255,0.021635873502387465,0.000499769909575787,0.008154074,670,0.11281844412161252
iv,1.2297652548148936,1.0287447864894348,0.0009917768811335593,0.0035474265,672,0.18120334056144846
iv_lag1,1.2696468801753784,0.979407093030766,0.0005184761669931189,0.005049075,687,0.19518582724508024
iv_change,0.11766313504055695,0.0764107789450783,0.00047216774759086634,0.0013629107,772,0.03675476924197367
spread,0.1340886103610159,0.19556011163817236,0.0013145370610333754,0.005458243,551,0.0905469771796645
spread_lag1,0.14708168026172472,0.07284787157013882,0.0005753133121270339,0.002839798,504,0.07176115118779787
volume_log,0.17625732105150094,0.1690685240901179,0.00035570850226130816,0.003069498,300,0.07301817209891505
volume_log_lag1,0.09145202286934266,0.039282431472830726,0.0002568594314532868,0.001669004,303,0.051303658207454306
open_int_log,0.14637736701333776,0.11038184581251337,0.0008019231596109078,0.004242929,635,0.12375791797453203
T,0.6729222078043385,1.0751141339445083,0.0044800888748631,0.016693102,445,4.773916154766977
days_to_maturity,0.6729222078041631,1.0751141339444652,0.004197989387411629,0.032100953,46,3.327573205407831
risk_free_rate,0.965176711615045,0.7835312120091019,0.002680413428669911,0.0047817533,201,1.0050370879311006
gpr_pit,2.1549957320383992,0.926531812169609,0.02081202913377984,0.034340058,197,2.684566105978014
gpr_ac_pit,3.3864682831137856,1.2749536781799127,0.002526618282846113,0.02022423,206,0.499997703153011
gpr_th_pit,1.4327323650120092,0.07436174033919442,0.006261728514864523,0.010804884,202,1.93510918034867
gpr_ma7_pit,2.6640905368060745,1.4491309463489956,0.022784588474622704,0.036117613,260,3.7632530588075412
gpr_ma30_pit,1.8353324560918582,0.7557054777134996,0.011004841781039654,0.015336163,296,5.003518385782403
gpr_n10d_pit,0.18530961804031298,0.09186441080935356,0.0013752570431391177,0.0066665066,315,0.6432467755275166
gpr_change_pit,0.9004832420621889,0.2738560052192859,0.0006435684221025612,0.0046734354,165,0.2522577264999719
gpr_pct_change_pit,1.390213021005781,1.0824216581966386,0.0011177019145007909,0.004321011,192,1.397777185882763
gpr_ac_change_pit,0.7619302975442035,0.14283943942356858,0.0003629261518918246,0.002580058,147,0.30138766978015313
gpr_ac_pct_change_pit,0.7610957278387085,0.5330023786834672,0.0003980721791401954,0.0038354928,142,0.22483432136083328
gpr_th_change_pit,0.8102920324772983,0.025240438357754632,0.0014218489359190806,0.0050676777,158,0.6187928492262789
gpr_th_pct_change_pit,0.5018650159926055,0.20194156212240993,0.003133688616370336,0.0055863294,143,0.33738385364132384
gpr_ma_diff7_pit,0.09361183202948012,0.38604250726364575,0.0009232818906147747,0.0046464885,238,0.8830700404486336
gpr_ma_diff30_pit,1.046297269863544,0.47654435279317436,0.0030376194307292306,0.006811201,190,0.6678455995922357
moneyness,27.072829576616428,1.1490069169288881,0.0021947604373507195,0.023083605,626,4.593978315108496
log_moneyness,27.59949735851021,1.406727545556699,0.00204292903582452,0.038596798,38,2.0247335020884636
spot_return_1d,0.6230527229277557,0.06952501161130428,0.0011827351145406299,0.011932258,253,1.5177981936931195
spot_ma5,3.651133168647301,2.2592422407936126,0.05366932414346576,0.02105391,421,7.6901636608364665
intrinsic_call,11.682875591384688,0.39520812670823163,0.00012177256787949584,0.035649,11,0.7672693533711115
spot,1.2609277060702488,0.339404900187428,0.00180053667738754,0.0072483434,177,0.14057639409634157
time_value_t,5.863948412744623,1.1408308432722494,0.08561909233181605,0.17071462,545,19.423768372669336
intrinsic_fwd_approx,15.500373770195205,0.3883289273804162,9.717173061586896e-05,0.050729234,2,1.8987819259449406
