feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,2.9651632855266974,1.175031709721142,0.8272339818668382,0.23512132,341,35.313750326090464
price_lag1,0.41906884772673836,0.992527631598623,0.002919492827376282,0.12041187,303,8.280594799054349
price_return_1d,0.15145486724527066,0.010503431204961356,0.0001508598796061986,0.016428344,111,0.55321810230646
iv,0.685806660977442,0.3236457605693196,0.00022131198792001402,0.004038067,75,0.23703480361339274
iv_lag1,0.6516616928308296,0.29554968126436,0.00018972737822462398,0.0050537847,108,0.42039723257404443
iv_change,0.05359054060025196,0.050622989653785096,8.190621863060826e-05,0.0044677984,103,0.12366432038177734
spread,0.49333858033397954,0.49660866563012146,0.0012412487429696235,0.013182112,97,0.6540870665582217
spread_lag1,0.013229222949683633,0.08766956321136718,0.00020536950479150507,0.007908015,144,0.3065772724207413
volume_log,0.25072401647105486,0.26800622698793547,0.0002150541080432275,0.008374636,62,0.1898668941068753
volume_log_lag1,0.059394453587371,0.11329476374853414,3.241017701219627e-05,0.0041392553,84,0.09123518252937156
open_int_log,0.2455161077453149,0.16664030755221368,0.0008205716947425406,0.013880549,240,0.7158093906386304
T,1.678900841328085,0.8058150046307823,0.008821780592389226,0.027750488,593,6.045896870145461
days_to_maturity,1.678900841328163,0.8058150046307861,0.008891532560532761,0.025064906,277,5.231370471796045
risk_free_rate,1.2110222596830136,0.9427875188770999,0.007033110050818348,0.017767783,412,3.5881301841521442
vix,0.696632544895091,0.382646652133435,0.005605184146384321,0.014397954,546,6.7120827072636144
moneyness,16.252306456371628,0.9638128424541978,0.0018541524661297396,0.041655708,295,2.0340416268994157
log_moneyness,11.48891967904952,0.9177137486806508,0.001965261432103633,0.036771934,158,1.80898148898939
spot_return_1d,0.5569158127237251,0.32321824141680366,0.0006326712725132982,0.01343336,506,4.072557583256308
spot_ma5,4.114899390500289,1.4451932173308386,0.036922873127304315,0.023503667,654,11.956085723313583
intrinsic_call,11.670184033925315,0.5563318790248426,0.00016019713686592107,0.04224698,18,1.0073726435778474
spot,3.2858260767970324,0.4520267038293082,0.0002712414110556048,0.009196359,303,2.3673223408857793
time_value_t,2.577380995542944,1.1429956834018982,0.09439842324722103,0.24467693,153,5.027285741840861
intrinsic_fwd_approx,13.578441395873922,0.5668674774486812,0.00013163817052671913,0.07052817,9,3.2626372276052154
