,model,RMSE,MAE,R2,Theil_U
1,Naive (Random Walk),3.088208,2.454002,0.659771,1.0
2,ElasticNet (delta),3.219234,2.583992,0.630288,1.0424
3,Ridge,3.305436,2.657405,0.610223,1.0703
4,CRR binomial (roll-down),3.318677,2.534762,0.607094,1.0746
5,LightGBM,3.375887,2.652447,0.593431,1.0932
6,RandomForest,3.406899,2.559981,0.585927,1.1032
7,XGBoost,3.446192,2.711421,0.576321,1.1159
8,OLS,3.451163,2.879309,0.575098,1.1175
9,CatBoost,3.502846,2.736475,0.562276,1.1343
10,MLP,5.83376,4.852074,-0.214102,1.889
