,model,RMSE,MAE,R2,Theil_U
1,Naive (Random Walk),3.088208,2.454002,0.659771,1.0
2,CRR binomial (roll-down),3.318677,2.534762,0.607094,1.0746
3,ElasticNet (delta),3.435346,2.714583,0.578984,1.1124
4,RandomForest,3.47151,2.628087,0.570073,1.1241
5,XGBoost,3.524026,2.737798,0.556967,1.1411
6,CatBoost,3.581859,2.850949,0.542306,1.1599
7,LightGBM,3.616919,2.826546,0.533302,1.1712
8,Ridge,3.724581,2.935814,0.505105,1.2061
9,OLS,3.957237,3.234911,0.441347,1.2814
10,MLP,4.037197,3.159311,0.418542,1.3073
