feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,1.2702038748500801,1.1646805157681155,0.7562056994689007,0.33429173,829,30.059312098008025
price_lag1,1.5218468363316742,0.9561942948167198,0.008250799291249469,0.12421168,913,9.008039455356803
price_return_1d,0.0037320099721888747,0.05051859477990978,0.0004808112695835301,0.0007900914,822,0.386924167026104
iv,1.0576921331766829,0.6229468475444873,0.0006319837803211828,0.001129605,842,0.13444369050710592
iv_lag1,1.089649759223007,0.58852203399625,0.0004209623426540733,0.00097236654,1007,0.15908845721114628
iv_change,0.09624453015108433,0.055886741105640125,0.00034149158079938295,0.00072709,968,0.049364507148816135
spread,0.17062380711068317,0.2607005096738608,0.0008332544739108218,0.0012411813,743,0.07657856468203485
spread_lag1,0.17473726002000475,0.04521575005521751,0.0004174636411047309,0.00085992843,674,0.09405236397660849
volume_log,0.1440400061499833,0.14364488168503337,0.0003278875999746033,0.0014498039,352,0.049442543940185914
volume_log_lag1,0.1352345810960795,0.042058905102729305,0.00024268495308540065,0.0015770356,365,0.05410524458618961
open_int_log,0.08109642375114788,0.028902817744839597,0.0006813394921177852,0.0012959279,725,0.1560602062345081
T,0.991496782011002,0.8519206872700132,0.004045545558402502,0.026910707,403,6.596964410322004
days_to_maturity,0.991496782011149,0.8519206872700033,0.0041660321398705276,0.023965023,161,1.4667435598644776
risk_free_rate,1.0821276172095993,0.8008595592240023,0.0023881730077070684,0.0055219857,159,1.2652621636627028
gpr_pit,2.0755824145538693,0.5672209040187978,0.020592764977157226,0.044307828,144,1.8476908149109743
gpr_ac_pit,2.9052327105513314,0.2847265511101315,0.0022025137254387743,0.0050366493,194,1.8017536710543522
gpr_th_pit,1.553019789819578,0.16762539127248008,0.005991047755977756,0.01872721,219,0.9390502526390083
gpr_ma7_pit,2.6336836486497837,1.0688856511697882,0.022373318558845983,0.08676227,194,6.777857651444015
gpr_ma30_pit,1.4379555012303182,0.17801724159360408,0.00985631082046438,0.031994235,238,2.9270603469358694
gpr_n10d_pit,0.29512772405587645,0.24138763606040184,0.0009798194824076623,0.010789888,275,0.7906938707908673
gpr_change_pit,1.4876194201693247,0.12399439373402067,0.0005629163699450286,0.0062825107,156,0.6829780624179655
gpr_pct_change_pit,1.0048763217707466,0.5706436289049196,0.0009579971699806034,0.009840218,203,0.8279154104058885
gpr_ac_change_pit,0.8063495802441508,0.04706573722796977,0.0003010504333471326,0.004389547,200,0.23055219723082498
gpr_ac_pct_change_pit,0.7523851892577695,0.4214653779034616,0.00026500728932772746,0.0045946096,173,0.4785083581091315
gpr_th_change_pit,1.3912744085546596,0.1076754664066664,0.0013901653605271759,0.0070503,197,0.42384431195253186
gpr_th_pct_change_pit,0.20736346626439953,0.09088702645375493,0.0028853970651519754,0.006250459,187,0.5476974774425015
gpr_ma_diff7_pit,0.0049544493783384835,0.49140851937430696,0.0006847427627587092,0.008905587,209,0.4283530197983176
gpr_ma_diff30_pit,1.271360463784269,0.5192879932403212,0.0026179383560004724,0.0059950417,222,0.5451312835944291
vix,0.9730239801666395,0.9350484405396264,0.008989867321659106,0.01284422,273,1.2643328952164032
moneyness,13.237879868403956,1.0257076428713139,0.0020267384796136163,0.00958956,628,1.5712118297461688
log_moneyness,15.211476511987646,1.0520751591950686,0.0020303837774044322,0.006712877,271,3.4433887244466885
spot_return_1d,0.6518256351369164,0.2665542492777701,0.0009838940538082791,0.025508778,184,0.9424063572620944
spot_ma5,3.745772084647654,1.4782516615007437,0.050127288289026926,0.07068624,313,6.15268726563696
intrinsic_call,12.77271721523648,0.397163632055157,0.00014031843800181446,0.046183005,29,2.5415671243280937
spot,1.748143251349545,0.01753133606192289,0.0015875184009256308,0.0018660936,257,0.5559801740610462
time_value_t,5.239611612011088,1.2149974431039101,0.08290845407319035,0.04507864,716,13.211757510786443
intrinsic_fwd_approx,16.057680668348524,0.4014878863479863,0.00011041843935750131,0.0056599285,9,1.5111999572627368
