feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,1.8150788054669023,1.16805869062375,0.8794633764812627,0.34611535,570,21.891422259421656
price_lag1,0.3283464538486811,0.9849911360322248,0.0030192671693297997,0.016747508,238,6.359086609535403
price_return_1d,0.10404262857488474,0.026652924365275762,0.0,0.0014265116,48,0.5500996097804733
iv,0.7506381071657448,0.4082771530529182,2.3310124609587238e-05,0.0015749825,50,0.28632010432095195
iv_lag1,0.7210855964777416,0.3762068756939319,0.0,0.0026712087,95,0.6230402315402667
iv_change,0.04212337484185864,0.05673008842031787,0.0,0.0009639705,63,0.22902379371250456
spread,0.5335968191122936,0.5109059710432505,0.00023465810477703758,0.0033163605,62,0.3777291099734397
spread_lag1,0.05314000127303596,0.1137952678919874,0.0,0.0014586434,53,0.8137383513563483
volume_log,0.30705234738052944,0.2861611002570278,0.0,0.0013621469,40,0.29908723657660463
volume_log_lag1,0.11044847425679098,0.1285907287586028,0.0,0.0014722194,16,0.18938582362283243
open_int_log,0.31149209434037217,0.19665963261989275,0.00010214781969091357,0.007031333,196,1.602609148664972
T,1.3717177222070753,0.8235039489763851,0.006422984716556984,0.036211956,706,11.713829628548329
days_to_maturity,1.371717722206997,0.8235039489763897,0.005876164116216091,0.0330236,190,5.3986996764034725
risk_free_rate,1.037745769273807,0.8409127591178912,0.0016764082675125164,0.028059617,550,5.424455823982585
moneyness,6.606640475796341,0.960006463209092,0.0006098142489892674,0.046758123,268,5.305994495366512
log_moneyness,3.0452238617813867,0.9318588589082124,0.0005824661011349322,0.0070154774,122,2.729340325734473
spot_return_1d,0.5071009187818735,0.29263600295587766,0.0003459551567678326,0.020631863,419,6.027807731347374
spot_ma5,3.727528322148396,1.389349216326698,0.019514267283563386,0.029464008,862,14.054494280051129
intrinsic_call,9.466311245706969,0.5571258445450736,0.0,0.0046451576,15,1.7659832165900606
spot,2.724077849529177,0.359581775457376,1.4543026852251562e-05,0.009563072,204,2.6131288912545587
time_value_t,2.8133286806969924,1.1340340000447742,0.08211463738273685,0.26102376,190,9.190805089797108
intrinsic_fwd_approx,11.609735225328903,0.565319881231878,0.0,0.13946305,5,2.553918562418951
