feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,0.2869297405330034,1.1032679947489705,0.7538277801143695,0.5867283,855,27.695211078063537
price_lag1,1.4604162483425678,0.6084822647666199,0.00831717790311487,0.020035453,718,11.380761594702056
price_return_1d,0.031025458091955255,0.021635873502387465,0.0005072998359891422,0.0012381929,670,0.13200412602407954
iv,1.2297652548148936,1.0287447864894348,0.0008860121617261055,0.00083681755,672,0.12475362659068456
iv_lag1,1.2696468801753784,0.979407093030766,0.000455881670981099,0.00056151906,687,0.20290539257425952
iv_change,0.11766313504055695,0.0764107789450783,0.00041806469914363925,0.0005279164,772,0.04480199182765054
spread,0.1340886103610159,0.19556011163817236,0.0012230924973283205,0.00084148045,551,0.11415519729992182
spread_lag1,0.14708168026172472,0.07284787157013882,0.0005060924949781063,0.0012130123,504,0.0856852273571901
volume_log,0.17625732105150094,0.1690685240901179,0.0003223275390375744,0.0006580223,300,0.0799121746850104
volume_log_lag1,0.09145202286934266,0.039282431472830726,0.00023377009172182648,0.00095287483,303,0.07634307724308441
open_int_log,0.14637736701333776,0.11038184581251337,0.0007320441675632114,0.00069550856,635,0.15759462544478434
T,0.6729222078043385,1.0751141339445083,0.00435636178050877,0.013274156,445,4.6022491846003355
days_to_maturity,0.6729222078041631,1.0751141339444652,0.004194799236758804,0.0026150113,46,4.702254207259092
risk_free_rate,0.965176711615045,0.7835312120091019,0.002650441601821753,0.0088812085,201,1.0220726280053183
gpr_pit,2.1549957320383992,0.926531812169609,0.020744107826610042,0.054271173,197,1.7106924180254413
gpr_ac_pit,3.3864682831137856,1.2749536781799127,0.002572205816795134,0.007089625,206,0.6752176497517011
gpr_th_pit,1.4327323650120092,0.07436174033919442,0.006180877224536201,0.0157868,202,1.891882924593939
gpr_ma7_pit,2.6640905368060745,1.4491309463489956,0.022535552577769277,0.06252347,260,4.763125875444253
gpr_ma30_pit,1.8353324560918582,0.7557054777134996,0.010927207033307186,0.028368907,296,3.911266530411035
gpr_n10d_pit,0.18530961804031298,0.09186441080935356,0.0012336689602885187,0.0072365985,315,0.6522659811800235
gpr_change_pit,0.9004832420621889,0.2738560052192859,0.0006583453634297131,0.0031660425,165,0.32262236325811466
gpr_pct_change_pit,1.390213021005781,1.0824216581966386,0.0010814902570392263,0.004355878,192,1.0466061815312673
gpr_ac_change_pit,0.7619302975442035,0.14283943942356858,0.0003093254895028598,0.001594346,147,0.3880590006632598
gpr_ac_pct_change_pit,0.7610957278387085,0.5330023786834672,0.00033955637906519246,0.0020549644,142,0.15230444050657144
gpr_th_change_pit,0.8102920324772983,0.025240438357754632,0.0013956794736388355,0.014400031,158,0.3764630140203139
gpr_th_pct_change_pit,0.5018650159926055,0.20194156212240993,0.0030693180554655685,0.008576795,143,0.5227064336300012
gpr_ma_diff7_pit,0.09361183202948012,0.38604250726364575,0.0008367174340333155,0.0031416975,238,1.0673998979327655
gpr_ma_diff30_pit,1.046297269863544,0.47654435279317436,0.0028339564653840766,0.009636981,190,0.7261641534972664
moneyness,27.072829576616428,1.1490069169288881,0.0021281944945758502,0.0042001056,626,4.562970968198559
log_moneyness,27.59949735851021,1.406727545556699,0.0020100045441611,0.011654929,38,3.199967361639908
spot_return_1d,0.6230527229277557,0.06952501161130428,0.0011135267913113015,0.0069412724,253,1.4972519952599221
spot_ma5,3.651133168647301,2.2592422407936126,0.05326146769613106,0.082088575,421,7.87349634221149
intrinsic_call,11.682875591384688,0.39520812670823163,0.00010291290886681005,0.0039968626,11,1.3213079629538524
spot,1.2609277060702488,0.339404900187428,0.0017259018563085158,0.007069934,177,0.15026182537383231
time_value_t,5.863948412744623,1.1408308432722494,0.08621572344082896,0.022052865,545,11.753257150671235
intrinsic_fwd_approx,15.500373770195205,0.3883289273804162,9.311411590860177e-05,0.0007327782,2,1.0140053975682624
