feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,2.9651632855266974,1.175031709721142,0.8722363319860268,0.29695582,283,37.06183866107738
price_lag1,0.41906884772673836,0.992527631598623,0.0029188319112423253,0.024202608,225,7.335962150414271
price_return_1d,0.15145486724527066,0.010503431204961356,0.0,0.0012462466,203,0.5775916925681859
iv,0.685806660977442,0.3236457605693196,2.3310124609582146e-05,0.0011260288,257,0.11893011507063404
iv_lag1,0.6516616928308296,0.29554968126436,0.0,0.002089553,235,0.17215994534626464
iv_change,0.05359054060025196,0.050622989653785096,0.0,0.0009247911,204,0.061539530808405296
spread,0.49333858033397954,0.49660866563012146,0.00023465810477700264,0.003981379,207,0.21459675546408452
spread_lag1,0.013229222949683633,0.08766956321136718,0.0,0.0019508415,170,0.36096801229759456
volume_log,0.25072401647105486,0.26800622698793547,0.0,0.0013918431,90,0.09744842926685267
volume_log_lag1,0.059394453587371,0.11329476374853414,0.0,0.001800301,106,0.052727612685040504
open_int_log,0.2455161077453149,0.16664030755221368,0.00010214781969093172,0.006741578,259,1.0805491807520464
T,1.678900841328085,0.8058150046307823,0.005964725764452031,0.034720127,276,4.0681819798511905
days_to_maturity,1.678900841328163,0.8058150046307861,0.006094744571205406,0.025647784,156,10.998067753664522
risk_free_rate,1.2110222596830136,0.9427875188770999,0.001675789325688775,0.034492552,139,4.388137408436787
vix,0.696632544895091,0.382646652133435,0.0007073110809320757,0.015905846,284,5.045090942444612
moneyness,16.252306456371628,0.9638128424541978,0.000632024798730023,0.01713581,260,7.092233367716984
log_moneyness,11.48891967904952,0.9177137486806508,0.0005601838799741829,0.046489924,111,2.4636976248380256
spot_return_1d,0.5569158127237251,0.32321824141680366,0.0003458769879243804,0.014812152,247,4.61775334183922
spot_ma5,4.114899390500289,1.4451932173308386,0.019512622165831148,0.030784866,250,8.39964704795322
intrinsic_call,11.670184033925315,0.5563318790248426,0.0,0.17658755,18,1.7809736345849096
spot,3.2858260767970324,0.4520267038293082,1.4543026852251457e-05,0.0068006213,170,1.9038584251416986
time_value_t,2.577380995542944,1.1429956834018982,0.08897689845206296,0.25272712,190,1.8135031141782159
intrinsic_fwd_approx,13.578441395873922,0.5668674774486812,0.0,0.0014846845,8,0.2945432735998369
