,model,RMSE,MAE,R2,Theil_U
1,Naive (Random Walk),3.088208,2.454002,0.659771,1.0
2,ElasticNet (delta),3.219234,2.583992,0.630288,1.0424
3,LightGBM,3.240201,2.528968,0.625457,1.0492
4,Ridge,3.305436,2.657405,0.610223,1.0703
5,CRR binomial (roll-down),3.318677,2.534762,0.607094,1.0746
6,XGBoost,3.381951,2.703176,0.591969,1.0951
7,RandomForest,3.418389,2.572692,0.58313,1.1069
8,OLS,3.451163,2.879309,0.575098,1.1175
9,CatBoost,3.494429,2.774789,0.564377,1.1315
10,MLP,5.849806,4.868901,-0.220791,1.8942
