,model,RMSE,MAE,R2,Theil_U
1,Naive (Random Walk),3.088208,2.454002,0.659771,1.0
2,CRR binomial (roll-down),3.318677,2.534762,0.607094,1.0746
3,RandomForest,3.421096,2.555251,0.582469,1.1078
4,ElasticNet (delta),3.51098,2.780667,0.560241,1.1369
5,CatBoost,3.539662,2.771227,0.553026,1.1462
6,XGBoost,3.599398,2.840771,0.537813,1.1655
7,LightGBM,3.609075,2.832266,0.535324,1.1687
8,Ridge,3.896096,3.068081,0.458476,1.2616
9,OLS,4.264709,3.481355,0.351161,1.381
10,MLP,4.644395,3.721725,0.230486,1.5039
