feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,0.45956367139827237,1.1994368379250289,0.7043445641143413,0.46597266,154,31.229149143007614
price_lag1,1.2269161501715877,1.0469077099814388,0.01757989424780626,0.033564974,141,11.489964181314054
price_return_1d,0.13957153184620147,0.04590974455558389,0.0017382572146746407,0.00050239515,83,0.12011547995002576
iv,0.6246976301283816,0.5144279218488392,0.001847434712087378,0.0005069437,84,0.10236978265755625
iv_lag1,0.5931318314043627,0.4853583238741002,0.001373944847479135,0.0006564719,104,0.09299416221331469
iv_change,0.04979488446713318,0.04750772360809818,0.0018773915941786004,0.00043669628,95,0.09082469293304697
spread,0.10795941395025287,0.23828146937193295,0.0032486453118119136,0.0005505669,72,0.11105225080020956
spread_lag1,0.07041865756577287,0.035411852071111756,0.0018846182037850873,0.00045306378,76,0.18775812552563428
volume_log,0.03486870414805324,0.06468972079422344,0.0008954113225173488,0.0013677847,41,0.0676207782345632
volume_log_lag1,0.04082964007115861,0.021027577081969565,0.0007947493815379527,0.0011346509,45,0.03720982245688647
open_int_log,0.008520351000639146,0.0028020999067614565,0.0021892105826926684,0.0014066132,81,0.1835407589550931
T,0.3437306681415249,0.7207269767331361,0.002816336904060696,0.01906338,92,2.658335132301252
days_to_maturity,0.34373066814145514,0.7207269767331269,0.002604310416251392,0.027409673,26,4.609707057461626
risk_free_rate,0.9871333325486227,0.7122651818912386,0.005880394917746858,0.012912197,51,0.608238696858638
gpr_pit,0.3445506824965403,0.32982611979121773,0.0016011357849785252,0.009766392,17,0.5963554883669183
gpr_ac_pit,0.37482901431277876,0.10996903822461766,0.0023643368454728765,0.0067713265,41,1.2382966524110308
gpr_th_pit,0.22371196939347096,0.18120418427203083,0.0019819467955330392,0.0103748245,34,1.4524456158716856
gpr_ma7_pit,1.274713762305144,1.2191630198505388,0.04128279372867639,0.06987231,84,5.300828990470773
gpr_ma30_pit,0.4460918895544002,0.21760617044238417,0.07145096050503415,0.1355624,90,10.107140659505463
gpr_n10d_pit,0.5487468498294904,0.5775065969285305,0.003162871641878471,0.007100539,57,0.7973639473390108
gpr_change_pit,0.6303290019193829,0.5075442074086994,0.0005222558396789061,0.0048749195,26,0.29825716696097293
gpr_pct_change_pit,0.9201732077964996,0.19307796765365198,0.0005739635016575704,0.0047311415,26,0.5019224675339317
gpr_ac_change_pit,0.12288565320158797,0.361562565659942,0.00077521277394924,0.003514309,42,0.14938669314134145
gpr_ac_pct_change_pit,0.971046929439601,0.6816227787785912,0.0014070537073149175,0.0063474313,40,0.7656460146816965
gpr_th_change_pit,0.0010165518122398046,0.020510006045452084,0.0005093698887562413,0.0010433239,21,0.1802812053801345
gpr_th_pct_change_pit,0.7596552838376582,0.21773361578999756,0.0006394481880057927,0.0017315008,46,0.47063628116675427
gpr_ma_diff7_pit,1.109364792938101,1.0605171346219857,0.0030383963374761213,0.010369723,62,1.1235440738851357
gpr_ma_diff30_pit,0.03622536316634118,0.1955605049686458,0.005170781396460908,0.02160083,21,0.43548031513112084
vix,1.7662224207731803,1.3409912807712219,0.007303397786105085,0.014139878,60,1.097733200786684
moneyness,13.370160266462923,1.033670219923723,0.0024187892274786307,0.008306813,108,3.3593147443432936
log_moneyness,13.921300018630232,1.0409001096617778,0.00210877914918177,0.004772966,58,3.003451729727235
spot_return_1d,0.03611667767974757,0.35000457066040375,0.0012814071484742824,0.0047504692,41,0.9214078895835666
spot_ma5,3.4183189629921267,1.1411133082513996,0.020345378135034065,0.040425774,109,5.207540607463402
intrinsic_call,9.108094082590585,0.36985244313985705,0.00010928506592297753,0.004366044,4,1.2933590756703055
spot,1.9675219289070145,0.16524754872570094,0.004808500028557632,0.009198261,67,0.9525201920182785
time_value_t,4.282745456437276,1.2720903345242902,0.07792178304275661,0.05444075,83,7.737990203586049
intrinsic_fwd_approx,11.497710275777779,0.37672074188108046,0.00014698971064478256,0.0,5,1.420216720305646
