feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,1.8150788054669023,1.16805869062375,0.8357305571095033,0.22709933,570,29.55025938219223
price_lag1,0.3283464538486811,0.9849911360322248,0.00291549832159159,0.14573137,238,5.312944742872904
price_return_1d,0.10404262857488474,0.026652924365275762,0.00017992008116126727,0.012778567,48,0.3962668367532649
iv,0.7506381071657448,0.4082771530529182,0.00023233674705715144,0.004360987,50,0.2818852213302756
iv_lag1,0.7210855964777416,0.3762068756939319,0.00035223707091780476,0.0055917418,95,0.25861284152743125
iv_change,0.04212337484185864,0.05673008842031787,9.775278962174473e-05,0.0037511205,63,0.4133939327848039
spread,0.5335968191122936,0.5109059710432505,0.001643827641130344,0.011977334,62,0.5641087525625607
spread_lag1,0.05314000127303596,0.1137952678919874,0.00022388232487443978,0.007926412,53,0.18858573328278605
volume_log,0.30705234738052944,0.2861611002570278,0.00023464195916131955,0.007041661,40,0.18001023919487835
volume_log_lag1,0.11044847425679098,0.1285907287586028,5.405435132337334e-05,0.0047005457,16,0.060813613476021225
open_int_log,0.31149209434037217,0.19665963261989275,0.0009738046954714723,0.012491507,196,1.8562379791149992
T,1.3717177222070753,0.8235039489763851,0.00968305153975538,0.027952876,706,9.21411869758606
days_to_maturity,1.371717722206997,0.8235039489763897,0.009710577819994232,0.03265462,190,8.141034574140807
risk_free_rate,1.037745769273807,0.8409127591178912,0.007284058811554349,0.017665055,550,6.197310882002195
moneyness,6.606640475796341,0.960006463209092,0.002110225005266584,0.049078155,268,3.6878241413478023
log_moneyness,3.0452238617813867,0.9318588589082124,0.002013802590132235,0.04513983,122,3.7519542988756696
spot_return_1d,0.5071009187818735,0.29263600295587766,0.0007507760479540303,0.01315662,419,4.019506381467949
spot_ma5,3.727528322148396,1.389349216326698,0.03781242443198642,0.022635378,862,12.858252527571628
intrinsic_call,9.466311245706969,0.5571258445450736,0.00017202897774874117,0.03959303,15,3.1096319519804436
spot,2.724077849529177,0.359581775457376,0.0003653362080783468,0.009453961,204,3.312679037249594
time_value_t,2.8133286806969924,1.1340340000447742,0.08729217935242287,0.19677812,190,5.056556491365859
intrinsic_fwd_approx,11.609735225328903,0.565319881231878,0.00016702612329321282,0.10244179,5,1.588011741319844
