feature,OLS,Ridge,RandomForest,XGBoost,LightGBM,CatBoost
price,0.3459000539431638,1.1597083860741595,0.7107802653111005,0.4906314,872,27.758045504698334
price_lag1,0.42613376146543525,0.972305039228343,0.016523811971854232,0.036045667,952,12.086864129999379
price_return_1d,0.0533091191565716,0.06262084974526769,0.0013319481532207665,0.0006514471,422,0.06604041093543091
iv,1.0339343587556042,0.7513608565292715,0.00131773930326229,0.00075157767,512,0.35151127728946024
iv_lag1,1.008908687898052,0.7038301282779312,0.0009056178628563832,0.000657799,434,0.15392151129811885
iv_change,0.024870837133791044,0.08011239066381631,0.0012836359802694602,0.00039818644,543,0.052746910998399565
spread,0.1521632678727823,0.28501122084162434,0.0027543065595047422,0.0036254714,499,0.0564521307402962
spread_lag1,0.004295867150654342,0.08752535835176467,0.0013608959345207034,0.00052919716,538,0.05876198159562575
volume_log,0.07066599349511443,0.1323183894019276,0.0005503664975686393,0.00070349406,206,0.081411618618359
volume_log_lag1,0.03142767020399368,0.06833847629887915,0.000507759098372469,0.00046575212,274,0.03598934795872276
open_int_log,0.16832335665066064,0.09708577971093377,0.0016256365095375276,0.0013365085,526,0.0860408030847236
T,0.3573046385381706,0.8350632494468228,0.002598230653561918,0.009388871,311,3.751752583245322
days_to_maturity,0.35730463853827665,0.8350632494468119,0.002346031994387247,0.027713297,27,3.224752284562654
risk_free_rate,0.7178884249514197,0.4935902274934864,0.005826453219895321,0.009834562,273,0.6647158824685403
gpr_pit,0.260311022993213,0.20082219800698867,0.0016264194639336721,0.0062275445,96,0.7471951391949729
gpr_ac_pit,0.6391013536532729,0.4047699852093355,0.003967967622518947,0.015120625,142,0.15307083017517942
gpr_th_pit,0.838645841255071,0.5204633892007019,0.0019301593737620249,0.007718654,172,1.6023141691473868
gpr_ma7_pit,0.9320663610170281,0.9336008350130873,0.04157690302641653,0.06852246,224,4.88003905726618
gpr_ma30_pit,0.9304687323318902,0.370538752902537,0.07273604344942129,0.168113,272,9.752925097924711
gpr_n10d_pit,0.5751854400851111,0.5418947885500164,0.0028930216435900605,0.0086637465,264,1.0316113520683061
gpr_change_pit,0.7077934364166146,0.544334480394986,0.00039417998108272513,0.0025049206,79,0.22437250695056907
gpr_pct_change_pit,0.8197482216665526,0.16514551309729156,0.0004394062054358061,0.0023053042,152,0.1637635861674893
gpr_ac_change_pit,0.536181384278285,0.5132453637055356,0.0005615152681939497,0.0013717394,170,0.09578756282109453
gpr_ac_pct_change_pit,1.0208477253208246,0.7207500804071657,0.0011701235000491036,0.0018051317,518,0.5998380908886255
gpr_th_change_pit,0.19501411924996762,0.052256814936275035,0.00040005268114298124,0.003179118,117,0.1586196394533601
gpr_th_pct_change_pit,0.7890770383879935,0.2636036230439313,0.0004413934833537282,0.0019502519,144,0.5421091260264298
gpr_ma_diff7_pit,0.7966747797179262,0.9016235520316408,0.00285679108281964,0.010486835,189,1.0787322086634346
gpr_ma_diff30_pit,0.42852942563919033,0.06380031240545332,0.005420176994203749,0.018267343,133,0.43561976144915737
moneyness,25.645950273789495,1.0377248939620203,0.001943680698170436,0.0057789967,478,4.3609832646916695
log_moneyness,25.609020077534772,1.0892009695509204,0.0018495485253926904,0.006373257,38,1.732388710814565
spot_return_1d,0.15321436751202677,0.29882604772672156,0.0010084445798350377,0.0072916285,210,0.810759834080229
spot_ma5,3.3613819337820887,1.1310006575324167,0.021049426245694544,0.0314774,341,4.167964412667619
intrinsic_call,7.9640157995349465,0.39771661160510596,0.00015046953026007744,0.0019031115,36,1.1597587894574213
spot,1.5007237176620625,0.06137991727673453,0.004619172702642435,0.012354475,218,0.4981396061934869
time_value_t,4.660478186473385,1.2086142920877998,0.0831397148701092,0.02976313,425,15.762208238895221
intrinsic_fwd_approx,10.933242488032349,0.399023157989453,0.0001126900220590979,0.006088101,12,1.612792637509531
