,model,RMSE,MAE,R2,Theil_U
1,ElasticNet (delta),2.905058,2.322247,0.69893,0.9407
2,Ridge,2.960357,2.358171,0.687359,0.9586
3,OLS,3.071766,2.506896,0.663384,0.9947
4,Naive (Random Walk),3.088208,2.454002,0.659771,1.0
5,CatBoost,3.195442,2.516073,0.635733,1.0347
6,XGBoost,3.299666,2.563841,0.611583,1.0685
7,CRR binomial (roll-down),3.318677,2.534762,0.607094,1.0746
8,LightGBM,3.333896,2.600801,0.603483,1.0796
9,RandomForest,3.439876,2.611019,0.577872,1.1139
10,MLP,4.746724,3.872291,0.196203,1.537
